Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
BR1 5SP,No,51.42279,-0.122899,530610,170980,TQ306709,Streatham South,"Lambeth, unparished area",01/02/1990,01/12/1995,62,England,21/11/2020,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01003144,Lambeth 034C
CR4 1TL,Yes,51.412805,-0.146432,529002,169828,TQ290698,Streatham South,"Lambeth, unparished area",01/12/1996,,27,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003143,Lambeth 035D
CR4 1TN,Yes,51.412854,-0.147796,528907,169831,TQ289698,Streatham South,"Lambeth, unparished area",01/12/1996,,26,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003143,Lambeth 035D
CR4 1WD,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/07/2002,01/10/2003,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WF,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/12/2001,01/02/2006,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WG,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/06/2002,01/02/2004,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WL,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/09/2003,01/01/2006,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WP,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/07/2002,01/01/2006,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WU,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/01/2004,01/03/2004,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WX,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/05/2004,01/03/2006,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
CR4 1WY,No,51.412898,-0.147766,528909,169836,TQ289698,Streatham South,"Lambeth, unparished area",01/07/2002,01/01/2006,26,England,21/11/2020,Imputed by ONS by reference to surrounding postcode grid references,E01003143,Lambeth 035D
